transaction_id,transaction_datetime,branch_id,member_id,member_tier,channel,product_category,quantity,unit_price,discount_amount,total_amount,payment_method,satisfaction_score
T000001,2025-10-01 08:09,B06,,,App,Bakery,1,85,0.00,85.00,App Wallet,
T000002,2025-10-01 08:12,B08,M0010,Bronze,In-store,Coffee,1,110,22.00,88.00,Cash,
T000003,2025-10-01 08:30,B05,,,In-store,Merchandise,1,455,0.00,455.00,QR PromptPay,
T000004,2025-10-01 08:41,B01,M0146,Bronze,App,Coffee,2,110,0.00,220.00,Credit Card,
T000005,2025-10-01 08:48,B01,M0048,Silver,APP,Coffee,2,55,0.00,110.00,Credit Card,
T000006,2025-10-01 08:59,B04,M0159,Platinum,In-store,Coffee,2,100,0.00,200.00,Cash,
T000007,2025-10-01 12:10,B02,M0015,Gold,In-store,Coffee,2,75,15.00,135.00,Cash,
T000008,2025-10-01 13:08,B03,M0078,Bronze,Delivery,Coffee,2,70,0.00,140.00,QR PromptPay,5
T000009,2025-10-01 13:30,B05,M0285,Bronze,In-store,Coffee,2,75,0.00,150.00,Cash,4
T000010,2025-10-01 13:37,B03,M0312,Silver,In-store,Coffee,1,85,0.00,35.00,Cash,3
T000011,2025-10-01 13:45,B03,M0309,Silver,In-store,Tea,1,80,4.00,76.00,Cash,
T000012,2025-10-01 16:28,B07,M9388,Bronze,App,Bakery,4,105,0.00,420.00,Credit Card,
T000013,2025-10-01 16:31,B03,M0171,Gold,In-store,Coffee,1,105,0.00,105.00,Cash,
T000014,2025-10-01 16:36,B05,M0010,Bronze,In-store,Tea,2,60,6.00,114.00,Credit Card,
T000015,2025-10-01 19:19,B04,M0079,Silver,App,Coffee,1,80,12.00,68.00,Credit Card,
T000016,2025-10-02 07:26,B06,,,In-store,Coffee,2,80,0.00,160.00,QR PromptPay,
T000017,2025-10-02 07:33,B04,,,App,Coffee,4,70,0.00,280.00,Credit Card,4
T000018,2025-10-02 08:08,B01,M0104,Silver,In-store,Coffee,4,55,0.00,220.00,QR PromptPay,
T000019,2025-10-02 08:09,B05,M0130,Platinum,In-store,Coffee,1,100,20.00,80.00,Cash,
T000020,2025-10-02 08:16,B05,M0118,Gold,App,Tea,1,75,7.50,67.50,App Wallet,4
T000021,2025-10-02 10:29,B03,M0023,Bronze,In-store,Bakery,4,70,0.00,280.00,Cash,
T000022,2025-10-02 11:56,B07,,,Delivery,Coffee,3,70,0.00,210.00,Cash,
T000023,2025-10-02 12:07,B02,,,In-store,Bakery,1,55,0.00,55.00,Credit Card,
T000024,2025-10-02 12:25,B07,M0040,Bronze,Delivery,Coffee,2,65,0.00,130.00,QR PromptPay,
T000025,2025-10-02 12:50,B01,M0324,Gold,Delivery,Coffee,3,75,11.25,213.75,Cash,
T000026,2025-10-02 13:19,B08,,,App,Coffee,2,60,0.00,120.00,Credit Card,
T000027,2025-10-02 13:34,B04,,,In-store,Tea,4,90,0.00,360.00,Cash,
T000028,2025-10-02 13:35,B06,,,In-store,Coffee,2,70,0.00,140.00,QR PromptPay,
T000029,2025-10-02 14:03,B06,,,In-store,Coffee,4,75,0.00,300.00,Cash,
T000030,2025-10-02 15:29,B08,M0226,Brz,In-store,Bakery,1,85,0.00,85.00,Credit Card,
T000031,2025-10-02 16:19,B03,M0104,Silver,In-store,Coffee,1,110,0.00,110.00,QR PromptPay,
T000032,2025-10-02 16:25,B07,M0325,Platinum,In-store,Coffee,4,95,57.00,323.00,Cash,4
